"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"GENERALUTILITIES_mp_SHELLSORT","63.7024","0","0","Simulation2015_x64.exe","GENERALUTILITIES_mp_SHELLSORT","GeneralUtilities.f90","0x14090cc60"
"ILUT","49.1052","0","0","Simulation2015_x64.exe","ILUT","pgmres.f","0x140902950"
"_libm_log_l9","37.4064","0","0","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","34.9772","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x1404e62e0"
"_libm_exp_l9","32.4965","0","0","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_UPDATECOEFF","25.0672","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x140435a00"
"PACKAGE_MATRIX_mp_PGMRES","22.5566","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408fe620"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","21.3472","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404daf20"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","17.8413","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x140907090"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","15.1694","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404d6c20"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","14.6483","0","0","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","Class_StrmGWConnector_v42.f90","0x1404466d0"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","13.8615","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404dc500"
"UNSATZONEOPS_mp_KUNSAT","12.796","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x1404e69a0"
"PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","12.4706","0","0","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","Package_AppSmallWatershed.f90","0x140432060"
"for_backspace","10.1251","0","0","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","9.277","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404a0310"
"RtlFreeHeap","7.86399","0","0","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026690"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","7.60469","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a68f0"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","7.45716","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404a1560"
"_intel_avx_rep_memset","7.0862","0","0","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","6.87725","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404df9e0"
"GMRES","6.75801","0","0","Simulation2015_x64.exe","GMRES","pgmres.f","0x140900690"
"CLASS_APPGW_mp_SIMULATE","6.55941","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140903a00"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","5.23675","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408fe0d0"
"UNSATZONEOPS_mp_DKUNSAT","4.6995","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x1404e6bc0"
"memcpy","4.11512","0","0","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140943340"
"CLASS_APPSUBSIDENCE_mp_SIMULATE","3.26712","0","0","Simulation2015_x64.exe","CLASS_APPSUBSIDENCE_mp_SIMULATE","Class_AppSubsidence.f90","0x14090a760"
"PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","3.15711","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","Package_Matrix.f90","0x1407ca690"
"CLASS_APPGW_mp_GETSUPPLY","2.9457","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLY","Class_AppGW.f90","0x140912d30"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","2.79789","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x1404e6ec0"
"func@0x180028840","2.57858","0.0149766","0","ntdll.dll","func@0x180028840","[Unknown]","0x180028840"
"exp","2.49792","0","0","Simulation2015_x64.exe","exp","[Unknown]","0x1400b1020"
"CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","2.44711","0","0","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUseGW.f90","0x1404e33e0"
"log","2.30693","0","0","Simulation2015_x64.exe","log","[Unknown]","0x1400b1000"
"RAINFALLRUNOFF_mp_SCSMETHOD_HELP","2.16654","0","0","Simulation2015_x64.exe","RAINFALLRUNOFF_mp_SCSMETHOD_HELP","RainfallRunoff.f90","0x1404e6e10"
"CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","2.14214","0","0","Simulation2015_x64.exe","CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUseGW.f90","0x1404e13e0"
"PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","2.09512","0","0","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","Class_GWZBudget.f90","0x14035c570"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","2.09347","0","0","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","Class_GWZBudget.f90","0x14035c000"
"_intel_avx_rep_memcpy","2.05449","0","0","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"PACKAGE_APPUNSATZONE_mp_SIMULATE","1.98521","0","0","Simulation2015_x64.exe","PACKAGE_APPUNSATZONE_mp_SIMULATE","Package_AppUnsatZone.f90","0x140914f50"
"ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","1.98493","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","RootZone_v41.f90","0x1404e7f50"
"DISTDOT","1.65951","0","0","Simulation2015_x64.exe","DISTDOT","pgmres.f","0x1403e1910"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","1.63142","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090ae40"
"intel_fast_memcmp","1.5722","0","0","Simulation2015_x64.exe","intel_fast_memcmp","[Unknown]","0x1400b86c0"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","1.51733","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140907e60"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","1.35941","0","0","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","Class_GWZBudget.f90","0x14035c1a0"
"CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","1.26926","0","0","Simulation2015_x64.exe","CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","Class_Pumping.f90","0x1405b7bf0"
"WriteFile","1.23549","0","0","KERNELBASE.dll","WriteFile","[Unknown]","0x1800426b0"
"cvtas_t_to_a","1.20743","0","0","Simulation2015_x64.exe","cvtas_t_to_a","[Unknown]","0x1400a1b80"
"CLASS_GRID_mp_FEINTERPOLATE","1.18528","0","0","Simulation2015_x64.exe","CLASS_GRID_mp_FEINTERPOLATE","Class_Grid.f90","0x1402f3680"
"for__interp_fmt","1.08744","0","0","Simulation2015_x64.exe","for__interp_fmt","[Unknown]","0x140085730"
"_libm_exp_e7","0.996059","0","0","Simulation2015_x64.exe","_libm_exp_e7","[Unknown]","0x1400b4bb0"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","0.942845","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_NonPondedAgLandUseGW.f90","0x1404ce340"
"CLASS_APPGW_mp_GETPUMPACTUAL","0.9087","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPACTUAL","Class_AppGW.f90","0x1408fb360"
"_chkstk","0.8998","0","0","Simulation2015_x64.exe","_chkstk","chkstk.asm","0x1409432e0"
"for__get_s","0.868574","0","0","Simulation2015_x64.exe","for__get_s","[Unknown]","0x14007c070"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","0.83862","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b0330"
"CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","0.799257","0","0","Simulation2015_x64.exe","CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","Class_AppGrid.f90","0x140905ff0"
"PACKAGE_MODEL_mp_CONVERGENCE","0.793477","0","0","Simulation2015_x64.exe","PACKAGE_MODEL_mp_CONVERGENCE","Package_Model.f90","0x1408f69e0"
"CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","0.713023","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","Class_GWZBudget.f90","0x1408b3bc0"
"RtlRestoreLastWin32Error","0.681886","0","0","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x1800415f0"
"for__acquire_semaphore_threaded","0.681375","0","0","Simulation2015_x64.exe","for__acquire_semaphore_threaded","[Unknown]","0x140065780"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","0.670587","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","RootZone_v41.f90","0x140499eb0"
"ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","0.628365","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","RootZone_v41.f90","0x1404c64b0"
"ROOTZONE_V41_mp_REGIONALDEMAND","0.605907","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALDEMAND","RootZone_v41.f90","0x1404d5d80"
"ReadFile","0.593106","0","0","KERNELBASE.dll","ReadFile","[Unknown]","0x180042c50"
