"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"GENERALUTILITIES_mp_SHELLSORT","18.476","0","0","Simulation2015_x64.exe","GENERALUTILITIES_mp_SHELLSORT","GeneralUtilities.f90","0x14090cc60"
"ILUT","14.933","0","0","Simulation2015_x64.exe","ILUT","pgmres.f","0x140902950"
"_libm_log_l9","11.0382","0","0","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","10.0383","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x1404e62e0"
"_libm_exp_l9","9.27769","0","0","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_PGMRES","7.75621","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408fe620"
"for_backspace","7.56524","0","0","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"PACKAGE_MATRIX_mp_UPDATECOEFF","7.41491","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x140435a00"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","6.43123","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404daf20"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","6.14159","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x140907090"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","4.86586","0","0","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","Class_StrmGWConnector_v42.f90","0x1404466d0"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","4.86345","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404d6c20"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","4.24718","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404dc500"
"PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","4.19445","0","0","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","Package_AppSmallWatershed.f90","0x140432060"
"UNSATZONEOPS_mp_KUNSAT","3.50797","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x1404e69a0"
"RtlFreeHeap","2.97326","0","0","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026690"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","2.89804","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404a0310"
"_intel_avx_rep_memset","2.81569","0","0","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"GMRES","2.76924","0","0","Simulation2015_x64.exe","GMRES","pgmres.f","0x140900690"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","2.52498","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a68f0"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","2.28431","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404a1560"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","2.091","0","0","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","Class_GWZBudget.f90","0x14035c000"
"memcpy","2.08311","0","0","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140943340"
"PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","2.06543","0","0","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","Class_GWZBudget.f90","0x14035c570"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","2.00968","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404df9e0"
"CLASS_APPGW_mp_SIMULATE","1.91312","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140903a00"
"_intel_avx_rep_memcpy","1.78773","0","0","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","1.55361","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408fe0d0"
