Function / Call Stack,CPU Time,Module,Function (Full),Source File,Start Address
CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE,3.07071,Simulation2015_x64.exe,CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE,Class_NativeRiparianLandUseGW.f90,0x14056dc10
exp,3.0187,Simulation2015_x64.exe,exp,[Unknown],0x1400b1020
log,2.97452,Simulation2015_x64.exe,log,[Unknown],0x1400b1000
CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE,2.8857,Simulation2015_x64.exe,CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE,Class_UrbanLandUseGW.f90,0x14056bc10
_intel_avx_rep_memcpy,2.81422,Simulation2015_x64.exe,_intel_avx_rep_memcpy,[Unknown],0x1400bc300
func@0x180028840,2.79816,ntdll.dll,func@0x180028840,[Unknown],0x180028840
PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS,2.6995,Simulation2015_x64.exe,PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS,Class_GWZBudget.f90,0x14035c570
CLASS_APPGW_mp_GETSUPPLY,2.66619,Simulation2015_x64.exe,CLASS_APPGW_mp_GETSUPPLY,Class_AppGW.f90,0x140912d10
RAINFALLRUNOFF_mp_SCSMETHOD_HELP,2.47286,Simulation2015_x64.exe,RAINFALLRUNOFF_mp_SCSMETHOD_HELP,RainfallRunoff.f90,0x1404e53e0
CLASS_APPGW_mp_APPLYVERTICALFLOWS,2.31893,Simulation2015_x64.exe,CLASS_APPGW_mp_APPLYVERTICALFLOWS,Class_AppGW.f90,0x14090ae20
DISTDOT,2.1391,Simulation2015_x64.exe,DISTDOT,pgmres.f,0x1403e1910
ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE,2.03849,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE,RootZone_v41.f90,0x140571940
intel_fast_memcmp,1.98399,Simulation2015_x64.exe,intel_fast_memcmp,[Unknown],0x1400b86c0
PACKAGE_APPUNSATZONE_mp_SIMULATE,1.94994,Simulation2015_x64.exe,PACKAGE_APPUNSATZONE_mp_SIMULATE,Package_AppUnsatZone.f90,0x140914f30
PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT,1.81788,Simulation2015_x64.exe,PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT,Class_GWZBudget.f90,0x14035c1a0
WriteFile,1.76715,KERNELBASE.dll,WriteFile,[Unknown],0x1800426b0
CLASS_APPGW_mp_APPLYCHANGEINSTORAGE,1.6461,Simulation2015_x64.exe,CLASS_APPGW_mp_APPLYCHANGEINSTORAGE,Class_AppGW.f90,0x140907e40
CLASS_GRID_mp_FEINTERPOLATE,1.5201,Simulation2015_x64.exe,CLASS_GRID_mp_FEINTERPOLATE,Class_Grid.f90,0x1402f3680
_libm_exp_e7,1.4995,Simulation2015_x64.exe,_libm_exp_e7,[Unknown],0x1400b4bb0
CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES,1.41044,Simulation2015_x64.exe,CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES,Class_Pumping.f90,0x14062c730
cvtas_t_to_a,1.38646,Simulation2015_x64.exe,cvtas_t_to_a,[Unknown],0x1400a1b80
_chkstk,1.25329,Simulation2015_x64.exe,_chkstk,chkstk.asm,0x1409432c0
ReadFile,1.13939,KERNELBASE.dll,ReadFile,[Unknown],0x180042c50
for__get_s,1.12439,Simulation2015_x64.exe,for__get_s,[Unknown],0x14007c120
CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE,1.08113,Simulation2015_x64.exe,CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE,Class_AppGW.f90,0x1408b0330
for__interp_fmt,1.07879,Simulation2015_x64.exe,for__interp_fmt,[Unknown],0x140085730
CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND,1.07365,Simulation2015_x64.exe,CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND,Class_NonPondedAgLandUseGW.f90,0x140559460
CLASS_APPGW_mp_GETPUMPACTUAL,1.06299,Simulation2015_x64.exe,CLASS_APPGW_mp_GETPUMPACTUAL,Class_AppGW.f90,0x1408fb340
for__acquire_semaphore_threaded,0.979425,Simulation2015_x64.exe,for__acquire_semaphore_threaded,[Unknown],0x140065780
CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA,0.930724,Simulation2015_x64.exe,CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA,Class_AppGrid.f90,0x140905fd0
CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE,0.850833,Simulation2015_x64.exe,CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE,Class_GWZBudget.f90,0x1408b3bc0
PACKAGE_MODEL_mp_CONVERGENCE,0.850389,Simulation2015_x64.exe,PACKAGE_MODEL_mp_CONVERGENCE,Package_Model.f90,0x1408f69c0
for_read_seq_fmt_xmit,0.78579,Simulation2015_x64.exe,for_read_seq_fmt_xmit,[Unknown],0x1400588a0
RtlRestoreLastWin32Error,0.781358,ntdll.dll,RtlRestoreLastWin32Error,[Unknown],0x1800415f0
FlsGetValue,0.734418,KERNELBASE.dll,FlsGetValue,[Unknown],0x180057c70
cvt_ieee_t_to_text_ex,0.714666,Simulation2015_x64.exe,cvt_ieee_t_to_text_ex,[Unknown],0x1400934c0
ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG,0.683445,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG,RootZone_v41.f90,0x140526220
func@0x1401e79f0,0.682235,Simulation2015_x64.exe,func@0x1401e79f0,[Unknown],0x1401e79f0
VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER,0.64436,Simulation2015_x64.exe,VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER,VerticalFlow.f90,0x1408b9730
getptd_noexit,0.642775,Simulation2015_x64.exe,getptd_noexit,tidtable.c,0x140948cdc
CLASS_STRATIGRAPHY_mp_GETLAYERNUMBERFORELEVATION,0.593628,Simulation2015_x64.exe,CLASS_STRATIGRAPHY_mp_GETLAYERNUMBERFORELEVATION,Class_Stratigraphy.f90,0x1402d74b0
for_write_int_fmt_xmit,0.568041,Simulation2015_x64.exe,for_write_int_fmt_xmit,[Unknown],0x14003f3a0
ROOTZONE_V41_mp_REGIONALMOISTSTORAGE,0.565218,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALMOISTSTORAGE,RootZone_v41.f90,0x1405515d0
func@0x1401e5fa0,0.53404,Simulation2015_x64.exe,func@0x1401e5fa0,[Unknown],0x1401e5fa0
ROOTZONE_V41_mp_REGIONALDEMAND,0.532234,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALDEMAND,RootZone_v41.f90,0x1405605b0
for__acquire_lun,0.502378,Simulation2015_x64.exe,for__acquire_lun,[Unknown],0x140068940
ROOTZONE_V41_mp_REGIONALREUSE,0.493549,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALREUSE,RootZone_v41.f90,0x140734a30
CLASS_APPGW_mp_GETELEMENTSTORAGEATLAYER,0.472138,Simulation2015_x64.exe,CLASS_APPGW_mp_GETELEMENTSTORAGEATLAYER,Class_AppGW.f90,0x1408b2530
for_read_seq_fmt,0.470927,Simulation2015_x64.exe,for_read_seq_fmt,[Unknown],0x140055fd0
ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST,0.46372,Simulation2015_x64.exe,ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST,RootZone_v41.f90,0x140544920
ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS,0.442708,Simulation2015_x64.exe,ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS,RootZone_v41.f90,0x14055c310
ROOTZONE_V41_mp_REGIONALINFILTRATION,0.441208,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALINFILTRATION,RootZone_v41.f90,0x14073a530
for__desc_ret_item,0.428457,Simulation2015_x64.exe,for__desc_ret_item,[Unknown],0x140078f20
CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE,0.410479,Simulation2015_x64.exe,CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE,Class_StrmGWConnector_v42.f90,0x140424aa0
cvtas_a_to_t,0.405553,Simulation2015_x64.exe,cvtas_a_to_t,[Unknown],0x1400a73c0
ROOTZONE_V41_mp_REGIONALPRECIP,0.392154,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALPRECIP,RootZone_v41.f90,0x14073ddd0
CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM,0.385306,Simulation2015_x64.exe,CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM,Class_BaseRootZone.f90,0x1404b0c40
for__format_value,0.377038,Simulation2015_x64.exe,for__format_value,[Unknown],0x140082f60
ROOTZONE_V41_mp_REGIONALPERC,0.374151,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALPERC,RootZone_v41.f90,0x140737790
CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW,0.37332,Simulation2015_x64.exe,CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW,Class_Stratigraphy.f90,0x1404104d0
ROOTZONE_V41_mp_REGIONALETA,0.357935,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALETA,RootZone_v41.f90,0x140738b30
ROOTZONE_V41_mp_REGIONALLUAREA,0.355103,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALLUAREA,RootZone_v41.f90,0x140722800
CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA,0.341305,Simulation2015_x64.exe,CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA,Class_NonPondedAgLandUseGW.f90,0x14053ca60
ROOTZONE_V41_mp_REGIONALRUNOFF,0.338805,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALRUNOFF,RootZone_v41.f90,0x14073c710
ADDFLOWTYPETOELEMENTS_BYELEMENT,0.337214,Simulation2015_x64.exe,ADDFLOWTYPETOELEMENTS_BYELEMENT,Class_GWZBudget.f90,0x14035c3b0
ROOTZONE_V41_mp_REGIONALSOILMCHANGE,0.318423,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALSOILMCHANGE,RootZone_v41.f90,0x14073b6b0
errno,0.313977,Simulation2015_x64.exe,errno,dosmap.c,0x1409469e4
func@0x140029420,0.306547,Simulation2015_x64.exe,func@0x140029420,[Unknown],0x140029420
CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE,0.305519,Simulation2015_x64.exe,CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE,Class_AppStream_v42.f90,0x14063f6a0
for_dealloc_allocatable,0.297716,Simulation2015_x64.exe,for_dealloc_allocatable,[Unknown],0x1400162d0
PACKAGE_MODEL_mp_SIMULATEONETIMESTEP,0.294601,Simulation2015_x64.exe,PACKAGE_MODEL_mp_SIMULATEONETIMESTEP,Package_Model.f90,0x1408e1dd0
CLASS_APPSUBSIDENCE_mp_UPDATESUBSIDENCE,0.293379,Simulation2015_x64.exe,CLASS_APPSUBSIDENCE_mp_UPDATESUBSIDENCE,Class_AppSubsidence.f90,0x140918f90
ROOTZONE_V41_mp_REGIONALRETURN,0.279619,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALRETURN,RootZone_v41.f90,0x1407334c0
for__cvt_value,0.27495,Simulation2015_x64.exe,for__cvt_value,[Unknown],0x140083eb0
CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE,0.247578,Simulation2015_x64.exe,CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE,Class_AppGW.f90,0x140325ca0
for__release_lun,0.244778,Simulation2015_x64.exe,for__release_lun,[Unknown],0x14006a350
CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM,0.234647,Simulation2015_x64.exe,CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM,Class_BaseRootZone.f90,0x1404b1690
CLASS_APPGW_mp_GETSUPPLYADJUSTDATA,0.232881,Simulation2015_x64.exe,CLASS_APPGW_mp_GETSUPPLYADJUSTDATA,Class_AppGW.f90,0x1408f4360
GetLastError,0.229497,KERNELBASE.dll,GetLastError,[Unknown],0x180013f80
ROOTZONE_V41_mp_REGIONALETP,0.229048,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALETP,RootZone_v41.f90,0x140728480
ROOTZONE_V41_mp_REGIONALETAW,0.228878,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALETAW,RootZone_v41.f90,0x140729250
for_read_seq_lis_xmit,0.226896,Simulation2015_x64.exe,for_read_seq_lis_xmit,[Unknown],0x140026450
CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND,0.223028,Simulation2015_x64.exe,CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND,Class_PondedAgLandUseGW.f90,0x14055b030
ROOTZONE_V41_mp_REGIONALAGRAWDEMAND,0.221488,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALAGRAWDEMAND,RootZone_v41.f90,0x140725b40
RtlAllocateHeap,0.219924,ntdll.dll,RtlAllocateHeap,[Unknown],0x1800287c0
ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS,0.21906,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS,RootZone_v41.f90,0x14071d050
for_write_int_fmt,0.210054,Simulation2015_x64.exe,for_write_int_fmt,[Unknown],0x14003a230
ROOTZONE_V41_mp_REGIONALETOTH,0.207499,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALETOTH,RootZone_v41.f90,0x1407276b0
CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_NEW,0.201727,Simulation2015_x64.exe,CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_NEW,Class_NonPondedAgLandUseGW.f90,0x1404f6f70
GetLastError,0.198118,KERNEL32.DLL,GetLastError,[Unknown],0x180006240
malloc,0.197493,Simulation2015_x64.exe,malloc,malloc.c,0x140943bd0
_crtFlsGetValue,0.179269,Simulation2015_x64.exe,_crtFlsGetValue,winapisupp.c,0x14094dd38
CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE,0.177269,Simulation2015_x64.exe,CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE,Class_AppGW.f90,0x1408b9f50
SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS,0.17685,Simulation2015_x64.exe,SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS,SupplyDestinationConnector.f90,0x1408f61a0
CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE,0.174235,Simulation2015_x64.exe,CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE,Class_PairedData.f90,0x14040edd0
intel_fast_memcpy,0.173608,Simulation2015_x64.exe,intel_fast_memcpy,[Unknown],0x1400b81a0
ROOTZONE_V41_mp_ROOTZONE_V41_ZEROSUPPLY,0.172966,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_ZEROSUPPLY,RootZone_v41.f90,0x140570b10
CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_READTSDATA,0.168683,Simulation2015_x64.exe,CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_READTSDATA,Class_PondedAgLandUseGW.f90,0x14053e740
for_allocate,0.165413,Simulation2015_x64.exe,for_allocate,[Unknown],0x140015d00
memset,0.165131,Simulation2015_x64.exe,memset,memset.asm,0x140943ca0
ROOTZONE_V41_mp_REDISTRIBUTEMOIST,0.151925,Simulation2015_x64.exe,ROOTZONE_V41_mp_REDISTRIBUTEMOIST,RootZone_v41.f90,0x140545340
ROOTZONE_V41_mp_ROOTZONE_V41_SETSUPPLYTOELEM,0.149503,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_SETSUPPLYTOELEM,RootZone_v41.f90,0x14052f6e0
func@0x1401eb160,0.143511,Simulation2015_x64.exe,func@0x1401eb160,[Unknown],0x1401eb160
PACKAGE_APPPUMPING_mp_SIMULATE,0.133666,Simulation2015_x64.exe,PACKAGE_APPPUMPING_mp_SIMULATE,Package_AppPumping.f90,0x14090de70
for_trim,0.133521,Simulation2015_x64.exe,for_trim,[Unknown],0x140015ae0
PACKAGE_APPSMALLWATERSHED_mp_UPDATERHS,0.128561,Simulation2015_x64.exe,PACKAGE_APPSMALLWATERSHED_mp_UPDATERHS,Package_AppSmallWatershed.f90,0x140914430
CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES,0.128532,Simulation2015_x64.exe,CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES,Class_StrmGWConnector_v42.f90,0x140422050
intel_fast_memset,0.128111,Simulation2015_x64.exe,intel_fast_memset,[Unknown],0x1400b8250
SetLastError,0.12669,KERNEL32.DLL,SetLastError,[Unknown],0x1800064b0
SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES,0.125164,Simulation2015_x64.exe,SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES,SupplyAdjustment.f90,0x1408f1430
CLASS_APPGW_mp_GETNODALPUMPACTUAL,0.125023,Simulation2015_x64.exe,CLASS_APPGW_mp_GETNODALPUMPACTUAL,Class_AppGW.f90,0x140897de0
aligned_malloc,0.122772,Simulation2015_x64.exe,aligned_malloc,align.c,0x140944998
func@0x1401e9070,0.114904,Simulation2015_x64.exe,func@0x1401e9070,[Unknown],0x1401e9070
CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE,0.114028,Simulation2015_x64.exe,CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE,Class_PairedData.f90,0x1405f8720
PACKAGE_MATRIX_mp_SOLVE,0.113934,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_SOLVE,Package_Matrix.f90,0x1408fd330
UNSATZONEOPS_mp_NONPONDEDCROPDEMAND,0.109456,Simulation2015_x64.exe,UNSATZONEOPS_mp_NONPONDEDCROPDEMAND,UnsatZoneOps.f90,0x1404ced70
