"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"GENERALUTILITIES_mp_SHELLSORT","365.107","0","0","Simulation2015_x64.exe","GENERALUTILITIES_mp_SHELLSORT","GeneralUtilities.f90","0x14090cc60"
"ILUT","278.636","0","0","Simulation2015_x64.exe","ILUT","pgmres.f","0x140902950"
"_libm_log_l9","198.286","0","0","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","176.094","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x1404e62e0"
"_libm_exp_l9","165.942","0","0","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_UPDATECOEFF","146.247","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x140435a00"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","117.583","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404daf20"
"PACKAGE_MATRIX_mp_PGMRES","112.144","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408fe620"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","108.272","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x140907090"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","88.3797","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404d6c20"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","75.0934","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404dc500"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","72.1333","0","0","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","Class_StrmGWConnector_v42.f90","0x1404466d0"
"UNSATZONEOPS_mp_KUNSAT","64.8599","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x1404e69a0"
"PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","63.6498","0","0","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","Package_AppSmallWatershed.f90","0x140432060"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","52.2479","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404a0310"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","42.7177","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404a1560"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","38.7127","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a68f0"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","38.3931","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404df9e0"
"CLASS_APPGW_mp_SIMULATE","36.838","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140903a00"
"RtlFreeHeap","36.683","0","0","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026690"
"_intel_avx_rep_memset","34.1913","0","0","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"GMRES","31.6811","0","0","Simulation2015_x64.exe","GMRES","pgmres.f","0x140900690"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","30.2453","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408fe0d0"
"UNSATZONEOPS_mp_DKUNSAT","25.5653","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x1404e6bc0"
"for_backspace","22.1087","0","0","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"CLASS_APPSUBSIDENCE_mp_SIMULATE","18.8525","0","0","Simulation2015_x64.exe","CLASS_APPSUBSIDENCE_mp_SIMULATE","Class_AppSubsidence.f90","0x14090a760"
"PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","17.5589","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","Package_Matrix.f90","0x1407ca690"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","15.9655","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x1404e6ec0"
"memcpy","15.477","0","0","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140943340"
"CLASS_APPGW_mp_GETSUPPLY","15.3032","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLY","Class_AppGW.f90","0x140912d30"
"CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","13.3417","0","0","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUseGW.f90","0x1404e33e0"
"log","12.6105","0","0","Simulation2015_x64.exe","log","[Unknown]","0x1400b1000"
"exp","12.0994","0","0","Simulation2015_x64.exe","exp","[Unknown]","0x1400b1020"
"CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","11.5139","0","0","Simulation2015_x64.exe","CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUseGW.f90","0x1404e13e0"
"PACKAGE_APPUNSATZONE_mp_SIMULATE","10.8864","0","0","Simulation2015_x64.exe","PACKAGE_APPUNSATZONE_mp_SIMULATE","Package_AppUnsatZone.f90","0x140914f50"
"RAINFALLRUNOFF_mp_SCSMETHOD_HELP","10.3855","0","0","Simulation2015_x64.exe","RAINFALLRUNOFF_mp_SCSMETHOD_HELP","RainfallRunoff.f90","0x1404e6e10"
"ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","10.0091","0","0","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","RootZone_v41.f90","0x1404e7f50"
"func@0x180028840","9.82534","0.0195863","0","ntdll.dll","func@0x180028840","[Unknown]","0x180028840"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","9.04199","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090ae40"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","8.67203","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140907e60"
"DISTDOT","8.1042","0","0","Simulation2015_x64.exe","DISTDOT","pgmres.f","0x1403e1910"
"_intel_avx_rep_memcpy","7.4918","0","0","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","6.54551","0","0","Simulation2015_x64.exe","CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","Class_Pumping.f90","0x1405b7bf0"
