"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"GENERALUTILITIES_mp_SHELLSORT","1790.17","0","0","Simulation2015_x64.exe","GENERALUTILITIES_mp_SHELLSORT","GeneralUtilities.f90","0x14090cc60"
"PACKAGE_MATRIX_mp_UPDATECOEFF","859.067","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x140435a00"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","799.223","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x140907090"
"ILUT","698.547","0","0","Simulation2015_x64.exe","ILUT","pgmres.f","0x140902950"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","648.698","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUse.f90","0x1405830a0"
"ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","548.852","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","RootZone_v40.f90","0x14057edd0"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","429.423","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","RootZone_v40.f90","0x14054af20"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","348.015","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUse.f90","0x140584640"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","342.03","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","RootZone_v40.f90","0x14054c200"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","341.078","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x140752b80"
"_libm_log_l9","337.214","0","0","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","308.943","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v40.f90","0x140587840"
"_intel_avx_rep_memset","268.161","0","0","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","254.018","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x140750520"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","250.782","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a68f0"
"CLASS_APPGW_mp_SIMULATE","250.044","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140903a00"
"PACKAGE_MATRIX_mp_PGMRES","249.372","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408fe620"
"_libm_exp_l9","239.673","0","0","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","237.284","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x1404e62e0"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","206.722","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408fe0d0"
"ROOTZONE_V40_mp_ROOTZONE_V40_ADVANCESTATE","200.071","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_ADVANCESTATE","RootZone_v40.f90","0x14058ea90"
"RtlFreeHeap","191.717","0.0047684","0","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026690"
"PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","175.934","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","Package_Matrix.f90","0x1407ca690"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_PRINTRESULTS","156.295","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_PRINTRESULTS","Class_NonPondedAgLandUse.f90","0x14074e500"
"CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","125.093","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","Class_GWZBudget.f90","0x1408b3bc0"
"UNSATZONEOPS_mp_KUNSAT","107.31","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x1404e69a0"
"func@0x1800b46c9","97.6369","1.05334","0","ntdll.dll","func@0x1800b46c9","[Unknown]","0x1800b46c9"
"memcpy","95.4525","0","0","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140943340"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","82.7703","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_NonPondedAgLandUse.f90","0x140576e50"
"CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","75.8606","0","0","Simulation2015_x64.exe","CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","Class_Pumping.f90","0x1405b7bf0"
"CLASS_PONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","73.2053","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","Class_PondedAgLandUse.f90","0x14075b980"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_AG","68.1059","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_AG","RootZone_v40.f90","0x1405449e0"
"CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","62.097","0","0","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUse.f90","0x14058b140"
"ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","59.305","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v40.f90","0x140563410"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","57.5509","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b0330"
"GMRES","56.8495","0","0","Simulation2015_x64.exe","GMRES","pgmres.f","0x140900690"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","55.817","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090ae40"
"ROOTZONE_V40_mp_REGIONALDEMAND","53.9125","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALDEMAND","RootZone_v40.f90","0x14057df70"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","52.8347","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x1404e6ec0"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","51.6082","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140907e60"
"ROOTZONE_V40_mp_REGIONALREUSE","45.8458","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALREUSE","RootZone_v40.f90","0x1407459a0"
"CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","45.2795","0","0","Simulation2015_x64.exe","CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUse.f90","0x140589320"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","44.1608","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","Class_BaseRootZone.f90","0x1404b06f0"
"ROOTZONE_V40_mp_REGIONALINFILTRATION","43.847","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALINFILTRATION","RootZone_v40.f90","0x140749760"
