"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","64.5585","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090c050"
"CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","63.3469","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUse.f90","0x14059e580"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","59.798","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x140505740"
"GMRES","55.9654","Simulation2015_x64.exe","GMRES","pgmres.f","0x1409018e0"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","53.7417","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b14d0"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","52.1891","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140909070"
"ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","49.6333","Simulation2015_x64.exe","ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v40.f90","0x140576850"
"ROOTZONE_V40_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","49.2","Simulation2015_x64.exe","ROOTZONE_V40_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","RootZone_v40.f90","0x14058d110"
"ROOTZONE_V40_mp_REGIONALDEMAND","49.1106","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALDEMAND","RootZone_v40.f90","0x1405913b0"
"CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","48.2023","Simulation2015_x64.exe","CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUse.f90","0x14059c760"
"CLASS_APPGW_mp_GETSUPPLY","45.9996","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLY","Class_AppGW.f90","0x140913200"
"ROOTZONE_V40_mp_REGIONALREUSE","42.3128","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALREUSE","RootZone_v40.f90","0x14062cc00"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","41.6808","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","Class_BaseRootZone.f90","0x1404cef70"
"ROOTZONE_V40_mp_REGIONALMOISTSTORAGE","38.1015","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALMOISTSTORAGE","RootZone_v40.f90","0x140582dc0"
"func@0x1800288e0","37.8376","ntdll.dll","func@0x1800288e0","[Unknown]","0x1800288e0"
"ROOTZONE_V40_mp_REGIONALINFILTRATION","35.5988","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALINFILTRATION","RootZone_v40.f90","0x1406309c0"
"UNSATZONEOPS_mp_DKUNSAT","33.9108","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x140505440"
"PACKAGE_MODEL_mp_CONVERGENCE","32.7997","Simulation2015_x64.exe","PACKAGE_MODEL_mp_CONVERGENCE","Package_Model.f90","0x1408f7c30"
"_chkstk","32.0823","Simulation2015_x64.exe","_chkstk","chkstk.asm","0x1409428f0"
"DISTDOT","30.0172","Simulation2015_x64.exe","DISTDOT","pgmres.f","0x1403e1ca0"
"CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","29.8484","Simulation2015_x64.exe","CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","Class_Stratigraphy.f90","0x140413fa0"
"ROOTZONE_V40_mp_REGIONALETA","29.5871","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETA","RootZone_v40.f90","0x14062f910"
"CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","28.4121","Simulation2015_x64.exe","CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","Class_AppGrid.f90","0x140907200"
"ROOTZONE_V40_mp_REGIONALRETURN","28.2725","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALRETURN","RootZone_v40.f90","0x14062b6a0"
"ROOTZONE_V40_mp_REGIONALPRECIP","27.8951","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALPRECIP","RootZone_v40.f90","0x140634330"
"ROOTZONE_V40_mp_REGIONALPERC","27.8948","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALPERC","RootZone_v40.f90","0x14062e520"
"ROOTZONE_V40_mp_REGIONALRUNOFF","27.6484","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALRUNOFF","RootZone_v40.f90","0x140632c50"
"H5SL_search","26.5272","Simulation2015_x64.exe","H5SL_search","[Unknown]","0x1401a3050"
"_intel_avx_rep_memcpy","26.2474","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"ROOTZONE_V40_mp_REGIONALETOTH","25.2739","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETOTH","RootZone_v40.f90","0x1406205a0"
"ROOTZONE_V40_mp_REGIONALSOILMCHANGE","25.2721","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALSOILMCHANGE","RootZone_v40.f90","0x140631ba0"
"VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","24.6004","Simulation2015_x64.exe","VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","VerticalFlow.f90","0x1408ba8d0"
"ROOTZONE_V40_mp_REGIONALAGRAWDEMAND","24.5309","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALAGRAWDEMAND","RootZone_v40.f90","0x14061f7c0"
"CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETFLOWATGWNODE","24.2005","Simulation2015_x64.exe","CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETFLOWATGWNODE","Class_BaseStrmGWConnector.f90","0x14042b090"
"ROOTZONE_V40_mp_ROOTZONE_V40_PRINTRESULTS","22.0458","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_PRINTRESULTS","RootZone_v40.f90","0x140616ee0"
"CLASS_APPGW_mp_GETPUMPACTUAL","21.5734","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPACTUAL","Class_AppGW.f90","0x1408fc5b0"
"CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","21.0735","Simulation2015_x64.exe","CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","Class_AppGW.f90","0x140325f10"
"ROOTZONE_V40_mp_REGIONALLUAREA","20.9705","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALLUAREA","RootZone_v40.f90","0x14061c720"
"ROOTZONE_V40_mp_REGIONALETP","20.436","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETP","RootZone_v40.f90","0x140621380"
"CLASS_PONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","19.7959","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","Class_PondedAgLandUse.f90","0x140640520"
"ROOTZONE_V40_mp_REGIONALETAW","18.3097","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETAW","RootZone_v40.f90","0x140622160"
"log","17.9142","Simulation2015_x64.exe","log","[Unknown]","0x1400b1000"
"exp","17.4242","Simulation2015_x64.exe","exp","[Unknown]","0x1400b1020"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND","16.8528","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_PondedAgLandUse.f90","0x14058be60"
"CLASS_BASEAPPSTREAM_mp_GETSUPPLY","16.5981","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETSUPPLY","Class_BaseAppStream.f90","0x1405c2c50"
"_libm_exp_e7","14.8813","Simulation2015_x64.exe","_libm_exp_e7","[Unknown]","0x1400b4bb0"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_READTSDATA","14.7913","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_READTSDATA","Class_NonPondedAgLandUse.f90","0x14056ef80"
"PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","13.4816","Simulation2015_x64.exe","PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","Package_Model.f90","0x1408e3040"
"for_backspace","12.6386","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"SUPPLYDESTINATIONCONNECTOR_mp_INITSUPPLYTOAGURBANFRACS","12.058","Simulation2015_x64.exe","SUPPLYDESTINATIONCONNECTOR_mp_INITSUPPLYTOAGURBANFRACS","SupplyDestinationConnector.f90","0x140932d70"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_PRINTRESULTS","11.8498","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_PRINTRESULTS","Class_PondedAgLandUse.f90","0x14063e990"
