"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ILUT","14.6411","Simulation2015_x64.exe","ILUT","pgmres.f","0x140903ba0"
"_libm_log_l9","12.0859","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","9.09565","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x140504b60"
"PACKAGE_MATRIX_mp_UPDATECOEFF","8.27725","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x14043c230"
"_libm_exp_l9","8.04885","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_PGMRES","7.73511","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408ff870"
"for_backspace","7.61859","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","7.2179","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404f97a0"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","5.45674","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x1409082a0"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","4.92192","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404f54a0"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","4.24842","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404fad80"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","3.9848","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","Class_StrmGWConnector_v42.f90","0x140440540"
"PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","3.92017","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","Package_AppSmallWatershed.f90","0x14045dd00"
"UNSATZONEOPS_mp_KUNSAT","3.15658","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x140505220"
"RtlFreeHeap","2.7897","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026730"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","2.74242","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","Class_GWZBudget.f90","0x14035c580"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","2.71977","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404beb90"
"_intel_avx_rep_memset","2.54841","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"GMRES","2.52476","Simulation2015_x64.exe","GMRES","pgmres.f","0x1409018e0"
"memcpy","2.36457","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140942950"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","2.36216","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a7a90"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","2.24394","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404bfde0"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","2.18333","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404fe260"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","2.06767","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","Class_GWZBudget.f90","0x14035c3e0"
"PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","1.97207","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","Class_GWZBudget.f90","0x14035c950"
"CLASS_APPGW_mp_SIMULATE","1.76549","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140904c50"
"intel_fast_memcmp","1.62913","Simulation2015_x64.exe","intel_fast_memcmp","[Unknown]","0x1400b86c0"
"_intel_avx_rep_memcpy","1.56449","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","1.35555","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408ff320"
"func@0x1800288e0","1.22612","ntdll.dll","func@0x1800288e0","[Unknown]","0x1800288e0"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","1.17735","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x140505740"
"UNSATZONEOPS_mp_DKUNSAT","1.13766","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x140505440"
"CLASS_GRID_mp_FEINTERPOLATE","1.10836","Simulation2015_x64.exe","CLASS_GRID_mp_FEINTERPOLATE","Class_Grid.f90","0x1402f37c0"
