"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ROOTZONE_V411_mp_WRITEROOTZONEFLOWSTOZONEBUDRAWFILE","1.34935","Simulation2015_x64.exe","ROOTZONE_V411_mp_WRITEROOTZONEFLOWSTOZONEBUDRAWFILE","RootZone_v411.f90","0x140715830"
"RtlRestoreLastWin32Error","1.23377","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x180041690"
"ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","1.20036","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","RootZone_v41.f90","0x1405067d0"
"PACKAGE_MODEL_mp_CONVERGENCE","1.15659","Simulation2015_x64.exe","PACKAGE_MODEL_mp_CONVERGENCE","Package_Model.f90","0x1408f7c30"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE","1.0833","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE","Class_StrmGWConnector_v42.f90","0x140443a70"
"CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","1.07665","Simulation2015_x64.exe","CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","Class_AppStream_v42.f90","0x14073c330"
"FlsGetValue","1.07565","KERNELBASE.dll","FlsGetValue","[Unknown]","0x180057f80"
"_chkstk","1.06852","Simulation2015_x64.exe","_chkstk","chkstk.asm","0x1409428f0"
"CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","1.02527","Simulation2015_x64.exe","CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","Class_AppGrid.f90","0x140907200"
"memset","1.01766","Simulation2015_x64.exe","memset","memset.asm","0x1409432d0"
"cvt_ieee_t_to_text_ex","0.990445","Simulation2015_x64.exe","cvt_ieee_t_to_text_ex","[Unknown]","0x1400934c0"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","0.953045","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b14d0"
"PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","0.943079","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","Package_Matrix.f90","0x14090dee0"
"CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES","0.869064","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES","Class_BaseAppStream.f90","0x1405c3290"
"CLASS_BASEAPPSTREAM_mp_GETSUPPLY","0.863643","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETSUPPLY","Class_BaseAppStream.f90","0x1405c2c50"
"CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","0.852221","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","Class_GWZBudget.f90","0x1408b4d60"
"H5SL_search","0.781254","Simulation2015_x64.exe","H5SL_search","[Unknown]","0x1401a3050"
"for__interp_fmt","0.74356","Simulation2015_x64.exe","for__interp_fmt","[Unknown]","0x140085730"
"ReadFile","0.699194","KERNELBASE.dll","ReadFile","[Unknown]","0x180042f60"
"getptd_noexit","0.676107","Simulation2015_x64.exe","getptd_noexit","tidtable.c","0x14094830c"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","0.61371","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","RootZone_v41.f90","0x1404b8730"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","0.59516","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","Class_BaseRootZone.f90","0x1404cef70"
"for__acquire_semaphore_threaded","0.57504","Simulation2015_x64.exe","for__acquire_semaphore_threaded","[Unknown]","0x140065780"
"CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","0.534143","Simulation2015_x64.exe","CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","Class_Stratigraphy.f90","0x140413fa0"
"ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","0.519517","Simulation2015_x64.exe","ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v41.f90","0x1404d8080"
"for_write_int_fmt_xmit","0.508794","Simulation2015_x64.exe","for_write_int_fmt_xmit","[Unknown]","0x14003f3a0"
"VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","0.492152","Simulation2015_x64.exe","VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","VerticalFlow.f90","0x1408ba8d0"
"ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","0.492046","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","RootZone_v41.f90","0x1404e4d30"
"errno","0.470334","Simulation2015_x64.exe","errno","dosmap.c","0x140946014"
